Scenario,lambda,env.beta,seed,sigma2x,kappa,nsamp,npres,uns_nsamp,Model,MAE,correlation,worst,best,tot_cpu,sim
Default,-3,1.2,93675,1,0.05,100,15,326,joint,0.928870471,0.621392363,"41, 301, 381, 61, 141, 201, 221, 281, 361","1, 21, 81, 101, 141, 161, 181, 201, 261, 281, 341, 361, 321",68.24490309,6
Default,-3,1.2,93675,1,0.05,100,15,326,unstructuredcov,5.259448772,0.75579442,"1, 81, 101, 161, 181, 241, 261, 321, 341, 21","61, 121, 141, 201, 221, 281, 301, 361, 381",36.34407902,6
Default,-3,1.2,93675,1,0.05,100,15,326,jointcov,0.738793208,0.857954987,"1, 61, 81, 101, 141, 161, 181, 221, 241, 261, 341, 21, 321, 41, 361","41, 121, 181, 201, 221, 281, 301, 341, 361, 381, 21, 61, 141, 101",78.17947197,6
Default,-3,1.2,93675,1,0.05,100,15,326,covariate,0.589919916,0.821324273,"41, 181, 261, 281, 341, 301, 361, 381, 21, 101, 121, 141, 201, 221, 321, 1, 81, 161","21, 41, 61, 141, 181, 201, 221, 241, 261, 301, 321, 361, 101, 121, 161, 1, 81, 281, 381, 341",20.63918114,6
Default,-3,1.2,93675,1,0.05,100,15,326,covariatebias,0.627304203,0.82635299,"1, 41, 81, 161, 181, 241, 261, 281, 301, 341, 361, 381, 21, 101, 121, 141, 221, 321","21, 41, 61, 141, 201, 221, 261, 301, 321, 341, 361, 1, 81, 101, 161, 241, 281, 381, 121, 181",20.600178,6
Default,-3,1.2,93675,1,0.05,100,15,326,correlation_str,0.538596077,0.879222891,"41, 181, 221, 261, 141, 201, 281, 301, 361, 381, 21, 101, 121, 341, 61, 81","21, 61, 141, 161, 241, 261, 321, 341, 361, 41, 81, 101, 1, 281, 301, 381, 121, 181, 201",83.67178607,6
Default,-3,1.2,93675,1,0.05,100,15,326,correlation_uns,0.917653813,0.600077894,"41, 321, 1, 141, 221, 281, 301, 361, 381, 61","21, 81, 101, 141, 181, 201, 261, 281, 341, 361, 41, 1",83.67178607,6
Default,-3,1.2,93675,1,0.05,100,15,326,correlationbias_str,0.61060418,0.896644443,"1, 41, 81, 101, 141, 161, 221, 241, 261, 341, 21, 181, 281, 301, 321, 361, 121, 381","21, 101, 121, 141, 181, 201, 221, 261, 281, 301, 361, 381, 1, 41, 61, 341",64.91371298,6
Default,-3,1.2,93675,1,0.05,100,15,326,correlationbias_uns,0.776906956,0.840738612,"1, 61, 81, 101, 141, 161, 181, 221, 241, 261, 341, 21, 321","41, 121, 181, 201, 221, 281, 341, 361, 21, 61, 141, 301, 381",64.91371298,6
Default,-3,1.2,383158,1,0.05,100,13,225,structured,1.050724299,-0.369389524,"1, 41, 61, 121, 181, 261, 341, 21, 81, 101, 161, 201, 241, 281, 321, 361, 141, 221, 301","21, 101, 121, 181, 241, 321, 1, 81, 141, 221, 301, 381, 61, 161, 261, 341, 201, 281, 361",135.317739,7
Default,-3,1.2,383158,1,0.05,100,13,225,unstructured,2.494386568,0.400210421,"221, 301, 381, 61, 141, 361","81, 161, 241, 1, 321, 341, 21, 101, 181",33.98294401,7
Default,-3,1.2,383158,1,0.05,100,13,225,joint,0.994351065,0.49174785,"141, 221, 301, 381, 61, 241, 321, 81, 161, 201, 281, 361","1, 21, 41, 101, 181, 261, 281, 341, 361, 121, 201, 141, 221, 241",70.01700497,7
Default,-3,1.2,383158,1,0.05,100,13,225,unstructuredcov,4.558548197,0.654215583,"1, 21, 161, 241, 61, 81, 141, 221, 301, 381, 321","41, 61, 121, 141, 181, 201, 221, 281, 301, 361, 381, 21, 241, 321, 341, 1, 101, 261, 81, 161",43.39448285,7
Default,-3,1.2,383158,1,0.05,100,13,225,jointcov,0.697926724,0.615207987,"41, 61, 121, 141, 201, 281, 301, 341, 361, 381, 21, 221, 261, 101, 181","41, 81, 101, 121, 161, 181, 241, 301, 321, 341, 1, 141, 381, 261, 21, 61, 201, 221, 281, 361",68.07789397,7
Default,-3,1.2,383158,1,0.05,100,13,225,covariate,1.175418722,-0.346008045,"21, 101, 121, 181, 201, 241, 261, 281, 301, 341, 361, 41, 61, 141, 161, 221, 321","1, 21, 41, 81, 101, 121, 161, 181, 201, 221, 241, 301, 321, 141, 261, 61",24.48639989,7
Default,-3,1.2,383158,1,0.05,100,13,225,covariatebias,1.123831116,-0.332889028,"21, 101, 121, 181, 201, 241, 261, 281, 301, 341, 361, 41, 61, 141, 161, 221, 321","1, 21, 81, 101, 121, 161, 201, 241, 301, 321, 141, 221, 381, 181, 261, 341, 41, 61",21.25221586,7
Default,-3,1.2,383158,1,0.05,100,13,225,correlation_str,1.18374163,-0.372321062,"21, 101, 121, 181, 201, 261, 281, 301, 341, 361, 41, 61, 141, 161, 221, 241, 321","1, 21, 41, 81, 101, 121, 141, 161, 181, 201, 221, 241, 301, 321, 261, 341",81.94668698,7
Default,-3,1.2,383158,1,0.05,100,13,225,correlation_uns,1.381521766,0.402102872,"301, 61, 141, 161, 221, 241, 321, 381, 81","21, 41, 61, 101, 121, 141, 181, 201, 221, 261, 281, 301, 361, 341",81.94668698,7
Default,-3,1.2,383158,1,0.05,100,13,225,correlationbias_str,1.019831329,-0.270831936,"21, 101, 121, 181, 201, 241, 261, 281, 301, 341, 361, 41, 61, 141, 161, 221, 321","1, 21, 41, 81, 101, 121, 161, 181, 201, 221, 241, 301, 321, 141, 381, 261, 341, 281, 361",90.93120098,7
Default,-3,1.2,383158,1,0.05,100,13,225,correlationbias_uns,0.607964207,0.671011479,"41, 61, 121, 141, 181, 201, 221, 281, 301, 361, 381, 21, 241, 321, 341, 1, 101, 261, 161","1, 21, 41, 81, 101, 121, 161, 181, 201, 241, 301, 321, 381, 61, 141, 221, 281, 361, 341",90.93120098,7
Default,-3,1.2,799980,1,0.05,100,13,216,structured,0.707944331,0.348850411,"41, 121, 201, 221, 241, 281, 301, 341, 361, 381, 21, 101, 161, 321, 1, 81","1, 81, 241, 21, 141, 261, 281, 361, 381, 61, 161, 181, 321, 341, 41, 101, 121, 201, 221, 301",113.3864861,8
Default,-3,1.2,799980,1,0.05,100,13,216,unstructured,2.206749511,0.044562441,"41, 61, 121, 141, 201, 221, 281, 301, 361, 381","81, 241, 321, 1, 101, 161, 181, 261, 341, 21, 121",48.63478184,8
Default,-3,1.2,799980,1,0.05,100,13,216,joint,0.995163948,0.120537406,"41, 61, 121, 141, 201, 221, 281, 301, 361, 381, 161, 241, 321, 1, 81","1, 21, 81, 101, 161, 181, 201, 241, 261, 321, 341, 281, 361, 41, 121",72.61415291,8
Default,-3,1.2,799980,1,0.05,100,13,216,unstructuredcov,3.730165638,0.785890494,"1, 41, 61, 81, 121, 141, 161, 201, 221, 241, 281, 361, 101, 301, 381","181, 61, 81, 101, 161, 201, 241, 261, 281, 321, 341, 361, 381, 1, 21, 41, 121, 221",38.73121619,8
Default,-3,1.2,799980,1,0.05,100,13,216,jointcov,0.41822546,0.805385022,"1, 41, 61, 81, 121, 141, 161, 201, 221, 241, 281, 301, 361, 101, 181, 321, 21, 381","21, 61, 201, 321, 341, 381, 1, 81, 121, 141, 181, 241, 301, 101, 161, 221, 261, 41, 281, 361",66.62581086,8
Default,-3,1.2,799980,1,0.05,100,13,216,covariate,0.744103751,0.420891061,"41, 101, 121, 161, 181, 201, 221, 241, 281, 301, 341, 361, 381, 21, 321, 1, 81","241, 321, 1, 61, 81, 141, 161, 181, 261, 281, 201, 221, 301, 381, 21, 41, 101, 121, 341, 361",17.74501491,8
Default,-3,1.2,799980,1,0.05,100,13,216,covariatebias,0.644579795,0.423740736,"41, 121, 201, 241, 281, 301, 341, 361, 381, 21, 101, 161, 261, 321, 1, 81, 181","1, 61, 81, 241, 21, 141, 261, 281, 321, 181, 201, 381, 41, 101, 121, 161, 221, 301, 341, 361",20.56217599,8
Default,-3,1.2,799980,1,0.05,100,13,216,correlation_str,0.695382937,0.496242941,"21, 41, 61, 101, 121, 141, 161, 181, 201, 221, 241, 281, 301, 341, 361, 381, 321, 1, 81","321, 1, 61, 81, 141, 181, 241, 261, 281, 121, 161, 201, 221, 301, 381, 21, 41, 341, 361",66.63681078,8
Default,-3,1.2,799980,1,0.05,100,13,216,correlation_uns,1.083841736,0.062761588,"41, 61, 121, 141, 201, 221, 281, 301, 361, 381, 161, 241, 321","1, 21, 81, 101, 161, 181, 201, 241, 261, 321, 341, 281, 361, 41, 121",66.63681078,8
Default,-3,1.2,799980,1,0.05,100,13,216,correlationbias_str,0.519905158,0.689475198,"1, 21, 41, 61, 81, 101, 121, 141, 161, 201, 221, 241, 281, 301, 341, 361, 381, 321","181, 321, 1, 21, 61, 81, 141, 201, 241, 261, 281, 301, 121, 161, 221, 341, 381, 41, 361",58.92837,8
