,lambda,env.beta,seed,sigma2x,kappa,nsamp,section,npres,uns_nsamp,Model,MAE,correlation,worst,best,tot_cpu,sim
Total3369,-3,1.2,648860,1,0.05,250,top,18,450,covariatebias,1.138335319,0.53202681,"21, 41, 81, 101, 121, 181, 201, 221, 241, 261, 281, 301, 321, 341, 361, 381, 1, 61, 141","1, 81, 161, 321, 101, 241, 181, 201, 261, 281, 341, 361, 381, 21, 41, 61, 121, 141, 221",24.64388108,366
Total3370,-3,1.2,648860,1,0.05,250,top,18,450,correlation_str,0.615751301,0.841829538,"1, 41, 61, 81, 141, 161, 221, 241, 301, 321, 341, 381, 21, 101, 181, 261, 361","21, 41, 61, 261, 341, 361, 381, 81, 101, 181, 201, 221, 241, 281, 1, 121, 141, 321",55.47663689,366
Total3371,-3,1.2,648860,1,0.05,250,top,18,450,correlation_uns,1.179562485,0.631879807,"41, 61, 141, 221, 241, 301, 321, 381, 161","21, 101, 121, 181, 201, 261, 281, 301, 341, 361, 381, 41",55.47663689,366
Total3372,-3,1.2,648860,1,0.05,250,top,18,450,correlationbias_str,0.540150294,0.882366672,"1, 41, 61, 81, 141, 161, 221, 241, 281, 321, 341, 361, 381, 21, 101, 181, 261","21, 121, 201, 301, 341, 361, 41, 181, 221, 261, 281, 321, 381, 1, 61, 101, 161, 141",52.18589306,366
Total3373,-3,1.2,648860,1,0.05,250,top,18,450,correlationbias_uns,0.454788073,0.906371197,"1, 41, 61, 141, 201, 221, 281, 301, 341, 361, 381, 261, 321, 21, 81, 101, 121","21, 41, 81, 121, 221, 241, 301, 321, 381, 1, 101, 141, 181, 261, 61, 161, 341, 201, 281, 361",52.18589306,366
Total3374,-3,1.2,648860,1,0.05,250,midbottom,12,450,structured,0.913862552,0.685016099,"1, 61, 81, 141, 161, 241, 321, 21, 181, 261, 341, 221, 301, 361, 381","21, 81, 101, 121, 161, 181, 201, 241, 261, 301, 341, 361, 381, 41, 61, 141, 221, 281",41.92599106,367
Total3375,-3,1.2,648860,1,0.05,250,midbottom,12,450,joint,1.20231467,0.673943375,"41, 61, 141, 221, 301, 381, 121, 201, 281","1, 101, 181, 161, 241, 261, 321, 341, 21, 81",48.69182801,367
Total3376,-3,1.2,648860,1,0.05,250,midbottom,12,450,jointcov,0.454369507,0.909362166,"1, 41, 61, 141, 221, 261, 281, 301, 341, 361, 381, 21, 321, 81, 101, 121","241, 1, 41, 121, 181, 201, 221, 261, 301, 361, 61, 141, 161, 321, 341, 381, 21, 101, 281",46.67565894,367
Total3377,-3,1.2,648860,1,0.05,250,midbottom,12,450,covariate,1.17200203,0.761562175,"41, 61, 121, 141, 221, 321, 161, 241, 341, 1, 281, 301, 361, 381","1, 81, 101, 161, 181, 241, 281, 361, 381, 21, 41, 61, 261, 301, 321, 341, 201",28.13766098,367
Total3378,-3,1.2,648860,1,0.05,250,midbottom,12,450,covariatebias,1.076672469,0.762936597,"41, 61, 141, 221, 241, 321, 161, 341, 1, 301, 361, 381","1, 81, 101, 161, 181, 241, 281, 301, 361, 381, 21, 41, 61, 261, 321, 341, 121, 201",27.13844204,367
Total3379,-3,1.2,648860,1,0.05,250,midbottom,12,450,correlation_str,0.931839979,0.837044987,"41, 61, 121, 141, 201, 221, 301, 341, 361, 381, 21, 161, 241, 321, 1, 261","81, 161, 241, 261, 281, 321, 341, 361, 381, 1, 21, 41, 61, 101, 181, 301, 141, 221",58.13536787,367
Total3380,-3,1.2,648860,1,0.05,250,midbottom,12,450,correlation_uns,1.175682763,0.641107256,"41, 61, 141, 221, 241, 301, 321, 381, 161","21, 101, 181, 201, 261, 281, 361, 381, 41, 121, 341",58.13536787,367
Total3381,-3,1.2,648860,1,0.05,250,midbottom,12,450,correlationbias_str,0.604174246,0.878989441,"41, 61, 121, 141, 201, 221, 261, 301, 321, 341, 361, 381, 21, 101, 241","81, 161, 201, 241, 361, 381, 1, 21, 61, 101, 181, 261, 281, 301, 321, 41, 141, 341, 121",56.53962708,367
Total3382,-3,1.2,648860,1,0.05,250,midbottom,12,450,correlationbias_uns,0.444754321,0.909586645,"1, 41, 61, 141, 221, 281, 301, 341, 361, 381, 261, 321, 21, 101, 121","21, 81, 121, 161, 181, 201, 301, 321, 1, 101, 141, 261, 381, 221, 341, 61, 281, 361",56.53962708,367
Total3383,-3,1.2,648860,1,0.05,250,midtop,32,450,structured,0.637964963,0.729865099,"1, 81, 141, 161, 241, 281, 301, 321, 361, 381, 21, 101, 181, 261, 341","21, 41, 141, 201, 261, 281, 361, 1, 121, 221, 301, 381, 81, 101, 161",51.64791894,368
Total3384,-3,1.2,648860,1,0.05,250,midtop,32,450,joint,1.04923252,0.690288504,"41, 61, 141, 221, 301, 381","1, 21, 101, 181, 261, 281, 341, 361, 201, 41, 121",47.10960913,368
Total3385,-3,1.2,648860,1,0.05,250,midtop,32,450,jointcov,0.586867689,0.900303717,"1, 21, 41, 61, 81, 141, 221, 241, 261, 281, 301, 321, 341, 361, 381, 101, 161","121, 261, 301, 341, 361, 21, 41, 141, 181, 201, 221, 281, 381, 61, 101, 241",48.66732001,368
Total3386,-3,1.2,648860,1,0.05,250,midtop,32,450,covariate,0.693360195,0.707182854,"1, 81, 141, 161, 241, 281, 321, 361, 101, 181, 261, 341",,27.85506201,368
Total3387,-3,1.2,648860,1,0.05,250,midtop,32,450,covariatebias,0.639213527,0.718491956,"1, 81, 141, 161, 241, 281, 301, 321, 361, 381, 101, 181, 261, 341",,27.17535996,368
Total3388,-3,1.2,648860,1,0.05,250,midtop,32,450,correlation_str,0.601221349,0.851025071,"1, 41, 61, 81, 141, 161, 221, 241, 301, 321, 341, 381, 21, 101, 181, 261, 361","341, 21, 121, 141, 181, 201, 261, 281, 301, 321, 361, 1, 101, 161, 221, 381, 41, 61",61.84517598,368
Total3389,-3,1.2,648860,1,0.05,250,midtop,32,450,correlation_uns,1.157362006,0.637304629,"41, 61, 141, 221, 241, 301, 321, 381, 161","21, 101, 121, 181, 201, 261, 281, 301, 341, 361, 381, 41",61.84517598,368
Total3390,-3,1.2,648860,1,0.05,250,midtop,32,450,correlationbias_str,0.553657027,0.891804464,"1, 41, 61, 81, 141, 161, 221, 241, 261, 281, 321, 341, 361, 381, 21, 101, 181","21, 121, 261, 301, 341, 361, 41, 141, 181, 201, 221, 281, 321, 1, 61, 101, 161, 241, 381",54.50251603,368
Total3391,-3,1.2,648860,1,0.05,250,midtop,32,450,correlationbias_uns,0.44867291,0.906548763,"1, 41, 61, 141, 201, 221, 281, 301, 341, 361, 381, 261, 321, 21, 81, 101, 121","21, 41, 81, 121, 221, 241, 301, 321, 381, 1, 61, 101, 141, 181, 261, 161, 341, 201, 281, 361",54.50251603,368
Total3392,-3,1.2,648860,1,0.05,250,whole,37,450,structured,0.61594036,0.770662956,"61, 81, 141, 161, 241, 281, 321, 361, 381, 1, 21, 101, 341, 181, 201, 261","41, 101, 121, 181, 301, 321, 341, 361, 1, 21, 61, 141, 261, 201, 221, 381, 81, 161, 241",59.28920507,369
Total3393,-3,1.2,648860,1,0.05,250,whole,37,450,joint,1.055078437,0.710450896,"41, 61, 121, 141, 221, 301, 381","1, 101, 181, 361, 21, 261, 321, 341, 121, 161, 81, 241",55.69071507,369
Total3394,-3,1.2,648860,1,0.05,250,whole,37,450,jointcov,0.548871004,0.907283437,"1, 21, 41, 61, 101, 121, 141, 221, 261, 301, 321, 341, 361, 381, 81, 241","201, 241, 261, 281, 321, 341, 21, 41, 61, 101, 121, 141, 181, 301, 381, 221, 361",51.68298292,369
Total3395,-3,1.2,648860,1,0.05,250,whole,37,450,covariate,0.637820806,0.812443367,"41, 61, 121, 141, 221, 241, 281, 301, 321, 341, 361, 381, 1, 21, 101, 181, 261","181, 281, 301, 361, 41, 61, 261, 321, 1, 101, 141, 201, 221, 381, 21, 121",30.52697492,369
Total3396,-3,1.2,648860,1,0.05,250,whole,37,450,covariatebias,0.612538211,0.820144512,"41, 61, 121, 141, 221, 241, 301, 321, 341, 361, 381, 1, 21, 101, 161, 181, 261","1, 21, 81, 101, 281, 301, 361, 381, 41, 61, 261, 321, 141, 181, 201, 221, 121",29.30386496,369
Total3397,-3,1.2,648860,1,0.05,250,whole,37,450,correlation_str,0.56817105,0.876071446,"21, 41, 61, 101, 121, 141, 181, 201, 221, 261, 281, 301, 341, 361, 381","281, 21, 361, 101, 381, 1, 61, 121",66.37527299,369
Total3398,-3,1.2,648860,1,0.05,250,whole,37,450,correlation_uns,1.146025433,0.648427318,"41, 61, 141, 221, 241, 301, 321, 381, 161","21, 101, 181, 201, 261, 281, 361, 381, 41, 121, 61, 341",66.37527299,369
Total3399,-3,1.2,648860,1,0.05,250,whole,37,450,correlationbias_str,0.514659148,0.908202782,"1, 41, 61, 101, 121, 141, 201, 221, 241, 261, 281, 301, 321, 341, 361, 381, 21, 81, 181","201, 241, 261, 281, 321, 341, 21, 41, 61, 101, 121, 141, 181, 301, 361, 381, 1, 161, 221",60.78944087,369
Total3400,-3,1.2,648860,1,0.05,250,whole,37,450,correlationbias_uns,0.434104181,0.911531816,"1, 41, 61, 141, 221, 281, 301, 341, 361, 381, 21, 261, 321, 81, 101, 121","21, 81, 121, 161, 181, 201, 321, 381, 141, 261, 301, 61, 101, 341, 1, 221, 281, 361",60.78944087,369
Total3401,-3,1.2,648860,1,0.05,250,whole,37,450,unstructured,2.279375191,0.630496221,"41, 61, 141, 221, 301, 381","1, 81, 161, 241, 261, 321, 341, 21, 101",31.58551002,369
Total3402,-3,1.2,648860,1,0.05,250,whole,37,450,unstructuredcov,4.486249649,0.904306303,"1, 21, 41, 61, 141, 221, 241, 261, 301, 321, 341, 381, 81","201, 281, 301, 361, 381, 41, 61, 121, 181, 261, 341, 21, 101, 141, 221",35.31666517,369
Total3403,-3,1.2,432938,1,0.05,250,left,10,364,structured,0.708558636,-0.039344886,"1, 21, 61, 101, 121, 141, 161, 181, 201, 221, 261, 281, 301, 341, 241, 321, 381","81, 241, 321, 1, 41, 121, 141, 181, 201, 221, 261, 281, 341, 21, 101, 161, 361, 381, 61, 301",69.01020908,370
Total3404,-3,1.2,432938,1,0.05,250,left,10,364,joint,1.60025431,0.418697748,"41, 61, 221, 301, 361, 381, 121, 141, 201, 281","1, 81, 161, 241, 261, 321, 341, 21, 101, 181",54.62338662,370
Total3405,-3,1.2,432938,1,0.05,250,left,10,364,jointcov,0.697390968,0.645042333,"61, 141, 221, 261, 301, 341, 381, 21, 121, 361, 41, 201, 281","21, 41, 101, 161, 181, 241, 261, 281, 321, 361, 1, 81, 121, 201, 341",43.92895246,370
Total3406,-3,1.2,432938,1,0.05,250,left,10,364,covariate,1.021989608,0.106806855,"21, 61, 101, 121, 141, 181, 201, 221, 261, 281, 301, 341, 381, 321, 361","81, 241, 321, 1, 121, 161, 201, 281, 301, 341, 361, 381, 41, 61, 101, 141, 181, 221, 261, 21",15.72251296,370
Total3407,-3,1.2,432938,1,0.05,250,left,10,364,covariatebias,0.923973173,0.085970925,"21, 61, 101, 121, 141, 181, 201, 221, 261, 281, 301, 341, 381, 321, 361","81, 241, 321, 1, 121, 161, 201, 281, 301, 341, 381, 41, 61, 101, 141, 181, 221, 261, 21, 361",15.21946406,370
Total3408,-3,1.2,432938,1,0.05,250,left,10,364,correlation_str,1.075612267,0.413817154,"41, 61, 221, 301, 361, 381, 121, 141, 201, 281","1, 21, 81, 101, 161, 181, 241, 261, 321, 341, 41, 201, 281",60.22168851,370
Total3409,-3,1.2,432938,1,0.05,250,left,10,364,correlation_uns,1.115075752,0.420056344,"61, 241, 301, 321, 381, 1, 41, 81, 121, 141, 161, 201, 221","21, 61, 101, 121, 181, 201, 261, 341, 281, 301, 361, 381, 41, 141, 161, 221",60.22168851,370
Total3410,-3,1.2,432938,1,0.05,250,left,10,364,correlationbias_str,0.654294044,0.663814863,"61, 101, 141, 181, 221, 261, 341, 21, 301, 381, 121, 361, 41, 201, 281, 321","1, 81, 241, 321, 41, 61, 101, 121, 161, 181, 201, 281, 361, 381, 141, 261, 301, 341, 21",43.40249848,370
Total3411,-3,1.2,432938,1,0.05,250,left,10,364,correlationbias_uns,0.437433795,0.674273271,"1, 61, 81, 141, 341, 41, 101, 121, 201, 221, 301, 381, 21, 161, 241, 281, 361","21, 61, 101, 281, 341, 381, 1, 81, 261, 301, 41, 141, 221, 241, 321, 121, 181",43.40249848,370
Total3412,-3,1.2,432938,1,0.05,250,right,7,364,structured,0.700590106,-0.05706262,"1, 21, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 341, 321, 381, 301, 361","81, 241, 321, 1, 41, 61, 101, 121, 141, 181, 201, 221, 261, 281, 301, 341, 361, 21, 161, 381",44.31189919,371
Total3413,-3,1.2,432938,1,0.05,250,right,7,364,joint,1.619730994,0.424695305,"161, 241, 261, 321, 341, 1, 21, 81, 181","41, 61, 221, 301, 361, 381, 121, 141, 201, 281",46.51400971,371
Total3414,-3,1.2,432938,1,0.05,250,right,7,364,jointcov,0.707613739,0.632297742,"1, 21, 61, 81, 101, 161, 241, 41, 121, 181, 201, 321, 381, 261, 341","41, 61, 121, 181, 201, 261, 281, 301, 341, 381, 21, 141, 221, 101, 361",47.32288814,371
Total3415,-3,1.2,432938,1,0.05,250,right,7,364,covariate,0.735609649,0.129002104,"1, 21, 61, 81, 101, 121, 141, 161, 181, 201, 241, 261, 281, 321, 341, 381","301, 381, 1, 41, 61, 81, 121, 141, 201, 221, 281, 361, 181, 261, 341, 21, 101, 161, 321",16.99360728,371
Total3416,-3,1.2,432938,1,0.05,250,right,7,364,covariatebias,0.697466338,0.110931198,"1, 21, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 281, 341, 381, 321","81, 321, 381, 1, 41, 61, 121, 141, 201, 221, 281, 301, 361, 181, 261, 21, 101, 161",14.64407277,371
Total3417,-3,1.2,432938,1,0.05,250,right,7,364,correlation_str,1.244417215,0.427765723,"161, 181, 241, 261, 321, 341, 1, 21, 81, 101","41, 61, 221, 301, 361, 381, 121, 141, 201, 281",61.63384724,371
Total3418,-3,1.2,432938,1,0.05,250,right,7,364,correlation_uns,1.117981245,0.424677132,"241, 301, 321, 381, 1, 41, 61, 81, 121, 141, 161, 201, 221","21, 61, 101, 121, 181, 201, 261, 341, 281, 361, 381, 41, 161, 221, 301",61.63384724,371
Total3419,-3,1.2,432938,1,0.05,250,right,7,364,correlationbias_str,0.516384403,0.662496325,"1, 61, 81, 141, 341, 41, 101, 121, 161, 181, 201, 241, 281, 301, 321, 361, 381, 261, 21","21, 61, 101, 121, 201, 281, 301, 381, 141, 181, 221, 261, 361, 41, 161, 321, 1, 81, 241",46.55987668,371
Total3420,-3,1.2,432938,1,0.05,250,right,7,364,correlationbias_uns,0.441376525,0.674302876,"1, 61, 81, 141, 161, 221, 341, 41, 101, 121, 201, 301, 381, 21, 241, 281","21, 101, 121, 201, 281, 341, 381, 1, 61, 81, 261, 301, 361, 41, 141, 221, 241, 321, 181",46.55987668,371
Total3421,-3,1.2,432938,1,0.05,250,midleft,18,364,structured,0.699686779,0.255757294,"41, 61, 81, 121, 141, 161, 181, 201, 241, 281, 301, 321, 361, 381, 1, 221","1, 21, 61, 101, 141, 161, 181, 241, 321, 341, 221, 41, 81, 121, 201, 261, 361, 381",100.991756,372
Total3422,-3,1.2,432938,1,0.05,250,midleft,18,364,joint,1.497411196,0.419028143,"41, 61, 221, 301, 361, 381, 121, 141, 201, 281","1, 81, 161, 241, 261, 321, 341, 21, 101, 181",61.3470571,372
Total3423,-3,1.2,432938,1,0.05,250,midleft,18,364,jointcov,0.402781839,0.71521968,"1, 61, 81, 141, 341, 361, 41, 101, 121, 181, 201, 221, 281, 301, 381, 261, 161, 241","201, 261, 281, 321, 341, 381, 1, 101, 141, 161, 181, 301, 41, 221, 241, 361",59.28283095,372
Total3424,-3,1.2,432938,1,0.05,250,midleft,18,364,covariate,1.096436279,0.23117121,"41, 61, 121, 141, 221, 301, 361, 381, 181, 201, 241, 281, 321","1, 21, 101, 161, 181, 241, 261, 321, 341, 81, 381, 361, 41, 61, 121",20.91332984,372
Total3425,-3,1.2,432938,1,0.05,250,midleft,18,364,covariatebias,0.85205936,0.244620534,"41, 61, 361, 381, 101, 121, 141, 181, 201, 221, 241, 281, 301, 321, 1","1, 21, 61, 101, 141, 161, 181, 241, 261, 321, 341, 81, 301, 381, 121, 361, 41",17.23570228,372
Total3426,-3,1.2,432938,1,0.05,250,midleft,18,364,correlation_str,1.08467265,0.422539405,"41, 61, 121, 141, 221, 281, 301, 361, 381, 101, 181, 201","1, 21, 81, 101, 161, 181, 241, 261, 321, 341, 381, 361, 41, 121, 141, 201, 281",58.37969136,372
Total3427,-3,1.2,432938,1,0.05,250,midleft,18,364,correlation_uns,1.12079918,0.42065494,"61, 221, 241, 301, 321, 381, 1, 41, 81, 121, 141, 161, 201","21, 61, 101, 121, 181, 201, 261, 341, 281, 301, 361, 381, 41, 141, 161, 221",58.37969136,372
Total3428,-3,1.2,432938,1,0.05,250,midleft,18,364,correlationbias_str,0.519177976,0.590522194,"41, 61, 281, 361, 381, 101, 121, 141, 181, 201, 241, 301, 321, 1, 261, 341, 221","1, 21, 81, 101, 141, 161, 181, 221, 241, 261, 301, 321, 341, 121, 281, 361, 381, 41",53.3265059,372
Total3429,-3,1.2,432938,1,0.05,250,midleft,18,364,correlationbias_uns,0.407785109,0.702611084,"1, 61, 81, 141, 341, 41, 101, 121, 181, 201, 221, 301, 381, 21, 161, 241, 281, 361","41, 121, 301, 321, 381, 1, 101, 261, 341, 361, 61, 141, 161, 21, 241",53.3265059,372
Total3430,-3,1.2,432938,1,0.05,250,midright,17,364,structured,0.620380374,0.152104887,"1, 61, 81, 321, 341, 121, 161, 201, 241, 281, 361, 381, 41, 141, 221, 301","121, 141, 201, 221, 241, 281, 301, 361, 381, 21, 61, 101, 261, 41, 81, 161, 1, 341",97.03524351,373
Total3431,-3,1.2,432938,1,0.05,250,midright,17,364,joint,1.121535566,0.451213226,"161, 241, 261, 321, 341, 1, 21, 81","41, 61, 121, 141, 201, 221, 281, 301, 341, 21, 101, 181, 261, 361, 381",58.67095637,373
Total3432,-3,1.2,432938,1,0.05,250,midright,17,364,jointcov,0.613578462,0.635698225,"1, 21, 61, 81, 141, 161, 361, 41, 101, 121, 181, 201, 241, 301, 381, 261, 341, 221, 281","41, 61, 121, 181, 201, 261, 281, 301, 381, 21, 141, 221, 341, 361, 101, 241",56.31766796,373
Total3433,-3,1.2,432938,1,0.05,250,midright,17,364,covariate,1.104119864,0.074353546,"1, 21, 81, 101, 161, 181, 241, 261, 321, 341","141, 301, 341, 381, 61, 221, 21, 41, 121, 201, 281, 1, 81, 161, 181, 241, 261, 321",21.97120714,373
Total3434,-3,1.2,432938,1,0.05,250,midright,17,364,covariatebias,0.797336745,0.144452996,"1, 21, 61, 81, 101, 161, 181, 241, 261, 321, 121, 381, 341, 201, 281, 301, 361","141, 181, 201, 261, 281, 301, 341, 381, 61, 221, 21, 41, 101, 121, 241, 321, 1",16.36499548,373
Total3435,-3,1.2,432938,1,0.05,250,midright,17,364,correlation_str,0.545678902,0.590559059,"1, 21, 41, 61, 81, 101, 201, 281, 361, 381, 121, 161, 181, 241, 221, 301, 321","101, 141, 181, 201, 221, 241, 261, 301, 321, 341, 1, 21, 361, 41, 81, 121, 161, 281, 381, 61",67.61573029,373
Total3436,-3,1.2,432938,1,0.05,250,midright,17,364,correlation_uns,1.088803979,0.428792798,"241, 301, 321, 381, 1, 41, 61, 81, 121, 141, 161, 201, 221","21, 61, 101, 181, 261, 341, 281, 301, 361, 381, 41, 121, 201, 141, 161, 221",67.61573029,373
Total3437,-3,1.2,432938,1,0.05,250,midright,17,364,correlationbias_str,0.655050597,0.569376379,"1, 21, 61, 81, 101, 161, 181, 241, 261, 321, 41, 121, 201, 381, 341, 221, 281, 301, 361","121, 181, 201, 281, 301, 341, 381, 21, 61, 141, 221, 361, 41, 101, 241, 261, 321",53.97332096,373
Total3438,-3,1.2,432938,1,0.05,250,midright,17,364,correlationbias_uns,0.455765932,0.656248362,"1, 61, 81, 141, 161, 341, 41, 101, 121, 201, 221, 301, 381, 241, 281, 361","101, 281, 341, 381, 1, 61, 81, 261, 301, 361, 41, 141, 201, 221, 241, 321, 21, 181",53.97332096,373
Total3439,-3,1.2,432938,1,0.05,250,bottom,5,364,structured,9.703716592,-0.145442193,"1, 21, 41, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 281, 301, 321, 341, 361, 381","1, 21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 281, 301, 321, 341, 361, 381",16.25066853,374
Total3440,-3,1.2,432938,1,0.05,250,bottom,5,364,joint,1.085531104,0.410719446,"321, 361, 381, 1, 41, 61, 81, 121, 141, 201, 281, 301, 161, 221, 241","1, 21, 61, 101, 141, 181, 261, 341, 361, 381, 41, 121, 201, 281, 161, 221",51.55905724,374
Total3441,-3,1.2,432938,1,0.05,250,bottom,5,364,jointcov,0.472864176,0.713072663,"61, 141, 261, 341, 21, 41, 121, 201, 221, 301, 381, 361, 161, 281","21, 101, 121, 161, 181, 241, 261, 281, 321, 341, 1, 81, 61, 141, 301, 381, 361",54.92818689,374
Total3442,-3,1.2,432938,1,0.05,250,bottom,5,364,covariate,1.064040778,-0.145866245,"61, 81, 121, 161, 201, 241, 281, 301, 321, 361, 381, 1, 41, 141, 181, 221, 261, 341, 21","1, 21, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 281, 301, 321, 341, 381, 361",17.60296297,374
Total3443,-3,1.2,432938,1,0.05,250,bottom,5,364,covariatebias,0.757301725,-0.052066536,"61, 141, 41, 81, 121, 161, 201, 241, 281, 301, 321, 361, 381, 1, 221, 261, 341, 21","1, 21, 101, 121, 161, 181, 201, 241, 281, 301, 321, 341, 381, 61, 141, 221, 361, 41",15.01334858,374
Total3444,-3,1.2,432938,1,0.05,250,bottom,5,364,correlation_str,0.737279958,0.302400151,"61, 41, 121, 141, 161, 201, 241, 281, 301, 321, 361, 381, 221, 261, 341","1, 21, 101, 121, 141, 161, 181, 201, 221, 241, 261, 301, 321, 341, 381, 61, 81, 361, 41",54.87349558,374
Total3445,-3,1.2,432938,1,0.05,250,bottom,5,364,correlation_uns,1.107785451,0.417400947,"241, 301, 321, 381, 1, 41, 61, 81, 121, 141, 161, 201, 281, 221","21, 61, 101, 121, 181, 201, 261, 341, 281, 301, 361, 381, 41, 141, 161, 221",54.87349558,374
Total3446,-3,1.2,432938,1,0.05,250,bottom,5,364,correlationbias_str,0.568878292,0.45191909,"61, 141, 261, 341, 41, 81, 121, 161, 201, 241, 281, 301, 321, 361, 381, 1, 221","21, 81, 101, 121, 201, 281, 301, 321, 341, 381, 61, 141, 181, 221, 261, 361, 41, 161, 241, 1",49.30623031,374
Total3447,-3,1.2,432938,1,0.05,250,bottom,5,364,correlationbias_uns,0.427587745,0.682956177,"1, 61, 81, 141, 341, 41, 101, 121, 201, 221, 301, 381, 21, 161, 241, 281, 361","21, 61, 121, 281, 341, 381, 1, 81, 101, 41, 141, 161, 221, 301, 321, 181, 241, 261",49.30623031,374
Total3448,-3,1.2,432938,1,0.05,250,top,11,364,structured,1.196313101,-0.116929261,"1, 21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 281, 301, 341, 381, 321","81, 121, 161, 201, 241, 281, 301, 321, 361, 381, 1, 41, 61, 141, 181, 221, 261, 341, 21, 101",73.2223351,375
Total3449,-3,1.2,432938,1,0.05,250,top,11,364,joint,1.105685342,0.417925793,"241, 301, 321, 341, 381, 1, 41, 61, 81, 121, 141, 161, 201, 221","21, 61, 101, 121, 201, 261, 281, 341, 181, 301, 361, 381, 41, 141, 161, 221",47.19425559,375
Total3450,-3,1.2,432938,1,0.05,250,top,11,364,jointcov,0.680170003,0.717177569,"61, 141, 221, 261, 341, 21, 301, 381, 121, 241, 361, 41, 201, 281","1, 21, 41, 81, 101, 161, 201, 281, 361, 381, 61, 121, 141, 181, 241, 261, 301, 341, 221",48.27886224,375
Total3451,-3,1.2,432938,1,0.05,250,top,11,364,covariate,0.857491009,0.105943449,"1, 21, 61, 81, 101, 141, 161, 181, 201, 241, 261, 321, 341, 381, 221, 301, 281, 361","1, 41, 61, 81, 321, 381, 121, 141, 161, 201, 221, 281, 301, 361, 181, 261, 341, 21, 101",17.15050364,375
Total3452,-3,1.2,432938,1,0.05,250,top,11,364,covariatebias,1.054262197,-0.017304814,"1, 21, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 281, 301, 321, 341, 381","81, 121, 161, 201, 241, 281, 301, 321, 361, 381, 1, 41, 61, 141, 181, 261, 341, 21, 101, 221",15.65394807,375
Total3453,-3,1.2,432938,1,0.05,250,top,11,364,correlation_str,0.801835821,0.455279323,"61, 241, 261, 321, 341, 1, 21, 41, 81, 121, 201, 281, 381, 141, 161, 221, 301, 361","1, 21, 61, 81, 101, 121, 141, 201, 221, 281, 341, 361, 181, 261, 301, 381, 41, 161",55.45811152,375
Total3454,-3,1.2,432938,1,0.05,250,top,11,364,correlation_uns,1.117669303,0.416995789,"61, 241, 301, 321, 381, 1, 41, 81, 121, 141, 161, 201, 221","21, 61, 101, 121, 181, 201, 261, 341, 281, 301, 361, 381, 41, 141, 161, 221",55.45811152,375
Total3455,-3,1.2,432938,1,0.05,250,top,11,364,correlationbias_str,0.559619824,0.623876047,"61, 141, 181, 261, 341, 21, 121, 301, 381, 161, 241, 321, 361, 1, 41, 81, 201, 221, 281","21, 41, 61, 81, 101, 161, 181, 201, 241, 261, 281, 321, 361, 381, 221, 301, 1, 121, 341, 141",47.88466859,375
Total3456,-3,1.2,432938,1,0.05,250,top,11,364,correlationbias_uns,0.41289547,0.700400778,"1, 61, 81, 141, 261, 341, 41, 101, 121, 181, 201, 221, 301, 381, 21, 161, 241, 281, 361","21, 121, 281, 321, 381, 1, 61, 41, 101, 141, 161, 241, 261",47.88466859,375
Total3457,-3,1.2,432938,1,0.05,250,midbottom,15,364,structured,0.649087153,0.238537446,"61, 141, 181, 261, 341, 81, 121, 161, 201, 241, 281, 321, 361, 381, 1, 41, 221, 301, 21","1, 21, 41, 61, 81, 121, 161, 201, 241, 281, 301, 361, 381, 101, 141, 221, 261, 341, 321",156.1586218,376
Total3458,-3,1.2,432938,1,0.05,250,midbottom,15,364,joint,1.338542356,0.445942573,"41, 301, 361, 381, 61, 121, 141, 201, 281, 221","1, 81, 161, 241, 261, 321, 341, 21, 101, 181",56.90820718,376
Total3459,-3,1.2,432938,1,0.05,250,midbottom,15,364,jointcov,0.511601011,0.737633403,"1, 41, 61, 81, 141, 161, 201, 281, 361, 21, 101, 121, 181, 301, 381, 261, 341, 241","101, 121, 181, 201, 261, 301, 341, 1, 21, 61, 81, 141, 221, 41, 161, 281, 361, 381, 241",57.48164749,376
Total3460,-3,1.2,432938,1,0.05,250,midbottom,15,364,covariate,0.649494188,0.369868872,"1, 61, 81, 141, 161, 241, 41, 101, 121, 181, 201, 281, 321, 361, 381, 221, 261, 301, 341, 21","1, 21, 101, 121, 141, 161, 181, 201, 241, 261, 281, 301, 381, 61, 221, 341, 81, 321, 361, 41",18.27581954,376
Total3461,-3,1.2,432938,1,0.05,250,midbottom,15,364,covariatebias,0.614797755,0.401898828,"1, 61, 81, 141, 161, 241, 341, 41, 101, 121, 181, 201, 281, 321, 361, 381, 221, 261, 301, 21","1, 21, 101, 121, 141, 161, 181, 201, 241, 281, 301, 341, 381, 61, 221, 81, 321, 361, 41",18.62803221,376
